cluster,size,acc,tp,tn,fp,fn
90,60.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667
91,10.0,0.9,0.0,0.9,0.0,0.1
92,32.0,0.90625,0.0,0.90625,0.0,0.09375
93,17.0,1.0,0.0,1.0,0.0,0.0
94,31.0,0.5161290322580645,0.0,0.5161290322580645,0.0967741935483871,0.3870967741935484
95,17.0,0.7647058823529411,0.0,0.7647058823529411,0.0,0.23529411764705882
96,102.0,0.5686274509803921,0.11764705882352941,0.45098039215686275,0.12745098039215685,0.30392156862745096
97,31.0,0.9354838709677419,0.0,0.9354838709677419,0.0,0.06451612903225806
98,91.0,0.8901098901098901,0.0,0.8901098901098901,0.0,0.10989010989010989
99,52.0,0.6346153846153846,0.19230769230769232,0.4423076923076923,0.19230769230769232,0.17307692307692307
100,37.0,0.5945945945945946,0.5945945945945946,0.0,0.40540540540540543,0.0
101,29.0,0.6896551724137931,0.5172413793103449,0.1724137931034483,0.20689655172413793,0.10344827586206896
102,24.0,0.5416666666666666,0.125,0.4166666666666667,0.16666666666666666,0.2916666666666667
103,36.0,0.8055555555555556,0.0,0.8055555555555556,0.0,0.19444444444444445
104,20.0,0.55,0.15,0.4,0.1,0.35
105,37.0,0.7567567567567568,0.0,0.7567567567567568,0.0,0.24324324324324326
106,59.0,0.9491525423728814,0.0,0.9491525423728814,0.0,0.05084745762711865
107,21.0,0.9523809523809523,0.0,0.9523809523809523,0.0,0.047619047619047616
108,117.0,1.0,0.0,1.0,0.0,0.0
109,13.0,0.8461538461538461,0.0,0.8461538461538461,0.0,0.15384615384615385
110,67.0,0.8059701492537313,0.8059701492537313,0.0,0.19402985074626866,0.0
111,62.0,1.0,0.0,1.0,0.0,0.0
112,56.0,0.9821428571428571,0.0,0.9821428571428571,0.0,0.017857142857142856
113,195.0,0.6564102564102564,0.4666666666666667,0.18974358974358974,0.24102564102564103,0.10256410256410256
114,27.0,1.0,0.0,1.0,0.0,0.0
115,64.0,0.578125,0.5625,0.015625,0.421875,0.0
116,78.0,0.7051282051282052,0.7051282051282052,0.0,0.2948717948717949,0.0
117,18.0,1.0,0.0,1.0,0.0,0.0
118,78.0,0.6538461538461539,0.038461538461538464,0.6153846153846154,0.0,0.34615384615384615
119,92.0,0.7934782608695652,0.0,0.7934782608695652,0.0,0.20652173913043478
120,98.0,0.5612244897959183,0.3979591836734694,0.16326530612244897,0.30612244897959184,0.1326530612244898
121,16.0,1.0,0.0,1.0,0.0,0.0
122,13.0,0.5384615384615384,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.3076923076923077
123,32.0,0.65625,0.46875,0.1875,0.28125,0.0625
124,21.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.14285714285714285
125,107.0,0.5700934579439252,0.08411214953271028,0.48598130841121495,0.09345794392523364,0.3364485981308411
126,23.0,1.0,1.0,0.0,0.0,0.0
127,35.0,0.9714285714285714,0.0,0.9714285714285714,0.0,0.02857142857142857
128,55.0,0.7818181818181819,0.01818181818181818,0.7636363636363637,0.0,0.21818181818181817
129,22.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
130,30.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.16666666666666666
131,23.0,0.9130434782608695,0.0,0.9130434782608695,0.0,0.08695652173913043
132,84.0,0.9761904761904762,0.0,0.9761904761904762,0.0,0.023809523809523808
133,19.0,0.9473684210526315,0.0,0.9473684210526315,0.0,0.05263157894736842
134,48.0,0.9375,0.0,0.9375,0.0,0.0625
135,54.0,1.0,0.0,1.0,0.0,0.0
136,14.0,1.0,0.0,1.0,0.0,0.0
137,19.0,0.5789473684210527,0.0,0.5789473684210527,0.0,0.42105263157894735
138,10.0,0.7,0.7,0.0,0.3,0.0
139,57.0,1.0,0.0,1.0,0.0,0.0
140,15.0,1.0,0.0,1.0,0.0,0.0
141,55.0,0.6363636363636364,0.6181818181818182,0.01818181818181818,0.36363636363636365,0.0
142,19.0,0.8421052631578947,0.8421052631578947,0.0,0.15789473684210525,0.0
143,48.0,0.6041666666666666,0.2916666666666667,0.3125,0.25,0.14583333333333334
144,23.0,1.0,0.0,1.0,0.0,0.0
145,54.0,0.6481481481481481,0.018518518518518517,0.6296296296296297,0.09259259259259259,0.25925925925925924
146,39.0,1.0,0.0,1.0,0.0,0.0
147,25.0,0.96,0.0,0.96,0.0,0.04
148,67.0,1.0,0.0,1.0,0.0,0.0
149,22.0,1.0,0.0,1.0,0.0,0.0
150,25.0,0.88,0.0,0.88,0.0,0.12
151,44.0,0.7272727272727273,0.7272727272727273,0.0,0.2727272727272727,0.0
152,19.0,1.0,0.0,1.0,0.0,0.0
153,16.0,0.75,0.125,0.625,0.0625,0.1875
154,63.0,0.746031746031746,0.07936507936507936,0.6666666666666666,0.031746031746031744,0.2222222222222222
155,15.0,1.0,0.0,1.0,0.0,0.0
156,90.0,0.9888888888888889,0.0,0.9888888888888889,0.0,0.011111111111111112
157,44.0,1.0,0.0,1.0,0.0,0.0
158,18.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.16666666666666666
159,15.0,0.7333333333333333,0.0,0.7333333333333333,0.0,0.26666666666666666
160,49.0,1.0,0.0,1.0,0.0,0.0
161,31.0,0.8064516129032258,0.06451612903225806,0.7419354838709677,0.03225806451612903,0.16129032258064516
162,30.0,0.6333333333333333,0.6,0.03333333333333333,0.36666666666666664,0.0
163,20.0,1.0,0.0,1.0,0.0,0.0
164,28.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.10714285714285714
165,38.0,0.7368421052631579,0.7368421052631579,0.0,0.2631578947368421,0.0
166,17.0,0.9411764705882353,0.0,0.9411764705882353,0.0,0.058823529411764705
167,20.0,1.0,0.0,1.0,0.0,0.0
168,13.0,1.0,0.0,1.0,0.0,0.0
169,56.0,1.0,0.0,1.0,0.0,0.0
170,39.0,0.46153846153846156,0.0,0.46153846153846156,0.05128205128205128,0.48717948717948717
171,18.0,0.3333333333333333,0.05555555555555555,0.2777777777777778,0.2777777777777778,0.3888888888888889
172,38.0,0.8157894736842105,0.0,0.8157894736842105,0.0,0.18421052631578946
173,42.0,0.6904761904761905,0.0,0.6904761904761905,0.047619047619047616,0.2619047619047619
174,20.0,0.65,0.15,0.5,0.15,0.2
175,13.0,1.0,0.0,1.0,0.0,0.0
176,19.0,1.0,0.0,1.0,0.0,0.0
177,11.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
178,37.0,0.918918918918919,0.0,0.918918918918919,0.0,0.08108108108108109
179,32.0,1.0,0.0,1.0,0.0,0.0
180,83.0,1.0,0.0,1.0,0.0,0.0
181,39.0,0.7435897435897436,0.6666666666666666,0.07692307692307693,0.2564102564102564,0.0
182,39.0,0.6153846153846154,0.05128205128205128,0.5641025641025641,0.07692307692307693,0.3076923076923077
183,13.0,1.0,0.0,1.0,0.0,0.0
184,52.0,1.0,0.0,1.0,0.0,0.0
185,19.0,0.7368421052631579,0.0,0.7368421052631579,0.05263157894736842,0.21052631578947367
